商户id,商户类型,2014年增长率,2013年增长率,2012年增长率
5111AB52ABC99F471FB3CA365BFF69D6,电信电视缴费类,-0.716482282,-0.034534453,-0.091356717
65D3A19DE9DACF75E8F0BC9331852741,电信电视缴费类,0.009857263,0.216145637,-0.00009161
DA41759B56680D55E910F87A82C563C4,电信电视缴费类,-0.143570956,0.386757367,1.151685205
2CBFF9CC7B8F373A1F181825EE60605E,电信电视缴费类,-0.007961209,0.044879294,1.571878614
AAD08B655E421F2C256E7C03AC526E57,电信电视缴费类,0.069885416,-0.369736812,0.870569954
4233E1751AE318D4D6E3C43DAD709DB9,电信电视缴费类,0.302489217,0.213996492,0.651562654
A4CDB5E23471F613675EB7A0576D601F,电信电视缴费类,3.204280006,0.484526592,1.529329353
9F925210D3FE03348A8CCC98D0689029,电信电视缴费类,0.118274295,-0.480572512,7.393966595
087104AE73F13A34A20644FFD6F7F125,电信电视缴费类,-0.076547788,-0.232810998,10.08679928
998D2323C171DF3522C95DBCA291DD30,电信电视缴费类,-0.466482851,-0.292813196,22.75210039
BF7B05F0D7C9452ABEA781322A0223E6,电信电视缴费类,0.066655534,-0.114561339,24.22677182
143755D6CCF680577150A355D95A0219,电信电视缴费类,0.03815258,7.165241941,.
E89284320E159B46CC4C48FF9A280DFE,电信电视缴费类,48.43491399,.,.
907B699E3297570EF622C0AD046F2CC1,电信电视缴费类,37.51046845,.,.
059D7EC1921B8FEC7D34DFB32F751E41,公共事业类,0.460363966,.,.
C9386E98205209B8F7F263CDCB298ECB,公共事业类,0.387522974,.,.
172E73E204CF5FE1EA44B2A6A4047990,批发类,-0.253939127,-0.04911482,0.45850376
76F597E8665D65C72BD34FBE708F1F96,批发类,0.363040148,1.653036281,6.602137433
A35D84620D7C65FC64D2B22DAA81B1D1,批发类,-0.093410933,0.706682068,2.060333764
B1905B662A92203265B477021C65BCFD,批发类,-0.177082853,0.440769991,1.789630332
C24F4875711CA0CA4A1F1EF4909996D4,批发类,-0.284488914,4.380609738,22.09512064
042631620CD06C1D217E3DDCEB037AA2,批发类,-0.342619315,1.999544378,-0.399622507
524493ABC0BCE846BB5FAE4130DB605E,批发类,0.282369296,0.056619261,0.477279112
46D023914CB244E013DDA9DEBC5B44CE,汽车销售类,-0.819680827,0.059835237,0.960946884
11A7CE4246FA25314DCDF7AFD38DD958,日用百货类,0.141373887,-0.186796896,-0.275888565
4F8CB38F2A5864D237057C9DD10EF390,日用百货类,0.458994144,7.609537567,1.307205505
F7347AD51EA0F08FEE91A955B1C073E7,日用百货类,-0.380834569,0.357309103,-0.251176789
3CE1AD779067584AE53D50A669F0A3FE,日用百货类,.,.,.
D4127217604E85115ED2117F13EE2F57,超市类,0.190292412,-0.037711604,0.228288286
C86A633DC99829969918D0F7E3520E83,超市类,-0.17676949,0.168513887,-0.138506173
EDCAFFB1D8D65CE916438D628D3C44E2,超市类,.,.,.
B08A3944E7D626CB8ABFBD5E7A268B5D,超市类,.,.,.
7D6CB24B5563A125C98A34CED39C1BB5,超市类,0.12200031,0.246553412,0.495230252
6F481668DE00733BA3DE22E44C76D47B,超市类,-0.066230531,-0.015303448,0.415024137
3E7ADDEAB2B09EA233E14DFC59200049,超市类,0.073977203,0.139644644,-0.002229354
E66BC3F4B26834C5705219AB453B6097,超市类,-0.279909639,0.204734204,0.273547496
EB7E371D07D6325D7F6907C7348A5636,超市类,0.014923614,-0.35985644,1.282103896
A41C625BA3153805FFD60CD46D529A52,超市类,-0.224816353,0.08559912,-0.470349935
510FD01C1964C21FFB926184E59E5A24,超市类,-0.557983877,-0.313825798,0.3125734
6DDE7E01D2D844FBD56285F303712BCF,超市类,0.050435814,0.046002515,2.604725218
33413D124D1CB42ACCC431B260CB4A78,超市类,-0.033428654,0.186827384,.
94B5DFCD36AE8CEF446B038846097FF0,超市类,-0.077751234,1.288027214,.
ACBC2FBE9EDCEC39EEF1F6374F499EE1,超市类,0.055364025,0.221475786,.
830C04CD1313804A38BB9EB92777DBF5,超市类,0.140407223,0.856092281,.
760DB85A515F889C07D728D3156E61EE,超市类,-0.05861512,0.608058972,.
6DBA0C01EC25050A8958D6AA5241B221,超市类,-0.001256798,0.667867792,.
8D7125E6B072D7F9502A34BCFFFE446B,超市类,-0.183537692,0.696884263,.
C661AFDC5EEF73F1EDB591ADBB54796B,超市类,0.163747771,0.810400023,.
4A07EFBF4CF3ED8F3FD1D04B4B7DBBAE,超市类,-0.046987786,0.921524067,.
D1725208D5646F5133DEA8CFA48792BA,超市类,0.104598727,0.798705522,.
90DBB9B3DDBC7DC0671F21589865DC6E,超市类,0.290854151,0.844487703,.
5E8321D9A42353625CAEA0FF4DC3C15F,超市类,-0.037834962,0.434239213,.
8260F08CD67767903F41525D7124DED3,超市类,0.156632751,0.564671916,.
6FCFDF035D6031FBB9C54E587BF9D369,超市类,0.061076554,0.577409575,.
68B88C0887E348B1622666364A787E8B,超市类,0.357617943,0.417956806,.
A850C7B61C4D09D24639995DCB6033B9,超市类,0.486658408,0.923676139,.
FFB636A88800923C85065AFEAB4AFC1C,超市类,0.005435584,0.548493222,.
0D7A6C9DEAC7C08984C7ED96BF890476,超市类,0.171111123,1.216420938,.
A7B86A456390500E4C4DCE7B1A6F7AB3,超市类,0.016993107,0.711633188,.
9B95443B24EEA6B2BD8844BCC21E6AEA,超市类,0.306236665,0.336344265,.
213067861FBE51F2EEF01E6457A137E5,超市类,0.357749561,2.858065378,.
3C21772B0AA8F4A9331653C67B74605D,超市类,0.473162115,1.255994878,.
2521039980CD999E96599987A4FC9209,超市类,0.048086907,1.834734555,.
