grid_id,cluster,business_type,grid_cnt,grid_x,grid_y,lat,lat_span,lng,lng_span,weight
1,19,餐饮类,9,2,0,39.93061583,0.0078672,116.4261114,0.007853067,344.2700007
2,19,餐饮类,9,0,2,39.91488143,0.0078672,116.4418175,0.007853067,133.0600004
3,19,餐饮类,9,1,1,39.92274863,0.0078672,116.4339645,0.007853067,266.2500017
4,19,餐饮类,9,2,1,39.93061583,0.0078672,116.4339645,0.007853067,130.5899997
5,19,餐饮类,9,2,2,39.93061583,0.0078672,116.4418175,0.007853067,870.8300118
6,19,餐饮类,9,0,1,39.91488143,0.0078672,116.4339645,0.007853067,724.2499998
7,19,餐饮类,9,1,0,39.92274863,0.0078672,116.4261114,0.007853067,92.14000082
8,19,餐饮类,9,0,0,39.91488143,0.0078672,116.4261114,0.007853067,261.55
9,19,餐饮类,9,1,2,39.92274863,0.0078672,116.4418175,0.007853067,81.30000067
84,24,餐饮类,9,0,2,39.90257742,0.00503839,116.4468968,0.005590267,212.179996
85,24,餐饮类,9,2,1,39.9126542,0.00503839,116.4413066,0.005590267,177.2200036
86,24,餐饮类,9,1,1,39.90761581,0.00503839,116.4413066,0.005590267,20.67000008
87,24,餐饮类,9,2,2,39.9126542,0.00503839,116.4468968,0.005590267,129.1099997
88,24,餐饮类,9,0,1,39.90257742,0.00503839,116.4413066,0.005590267,93.32999992
89,24,餐饮类,9,0,0,39.90257742,0.00503839,116.4357163,0.005590267,185.4299989
90,24,餐饮类,9,1,2,39.90761581,0.00503839,116.4468968,0.005590267,602.0800037
91,24,餐饮类,9,1,0,39.90761581,0.00503839,116.4357163,0.005590267,0
92,24,餐饮类,9,2,0,39.9126542,0.00503839,116.4357163,0.005590267,0
