grid_id,cluster,business_type,grid_cnt,grid_x,grid_y,lat,lat_span,lng,lng_span,weight
10,19,餐饮类,25,2,0,39.92432207,0.00472032,116.4261114,0.00471184,79.03000069
11,19,餐饮类,25,3,4,39.92904239,0.00472032,116.4449588,0.00471184,355.9700041
12,19,餐饮类,25,2,1,39.92432207,0.00472032,116.4308232,0.00471184,42.45000029
13,19,餐饮类,25,2,2,39.92432207,0.00472032,116.4355351,0.00471184,151.8200011
14,19,餐饮类,25,2,3,39.92432207,0.00472032,116.4402469,0.00471184,11.35999966
15,19,餐饮类,25,3,2,39.92904239,0.00472032,116.4355351,0.00471184,108.6100016
16,19,餐饮类,25,2,4,39.92432207,0.00472032,116.4449588,0.00471184,10.31000042
17,19,餐饮类,25,3,3,39.92904239,0.00472032,116.4402469,0.00471184,25.35999966
18,19,餐饮类,25,4,3,39.93376271,0.00472032,116.4402469,0.00471184,368.0300078
19,19,餐饮类,25,4,4,39.93376271,0.00472032,116.4449588,0.00471184,187.0700006
20,19,餐饮类,25,4,2,39.93376271,0.00472032,116.4355351,0.00471184,32.41999912
21,19,餐饮类,25,4,1,39.93376271,0.00472032,116.4308232,0.00471184,367.8500006
22,19,餐饮类,25,3,1,39.92904239,0.00472032,116.4308232,0.00471184,13.89999962
23,19,餐饮类,25,1,1,39.91960175,0.00472032,116.4308232,0.00471184,601.0399995
24,19,餐饮类,25,0,2,39.91488143,0.00472032,116.4355351,0.00471184,43.16000032
25,19,餐饮类,25,1,0,39.91960175,0.00472032,116.4261114,0.00471184,121.7099998
26,19,餐饮类,25,1,3,39.91960175,0.00472032,116.4402469,0.00471184,169.0100002
27,19,餐饮类,25,0,0,39.91488143,0.00472032,116.4261114,0.00471184,11.68999958
28,19,餐饮类,25,1,2,39.91960175,0.00472032,116.4355351,0.00471184,64.86000013
29,19,餐饮类,25,0,3,39.91488143,0.00472032,116.4402469,0.00471184,138.5900006
30,19,餐饮类,25,0,1,39.91488143,0.00472032,116.4308232,0.00471184,0
31,19,餐饮类,25,0,4,39.91488143,0.00472032,116.4449588,0.00471184,0
32,19,餐饮类,25,1,4,39.91960175,0.00472032,116.4449588,0.00471184,0
33,19,餐饮类,25,3,0,39.92904239,0.00472032,116.4261114,0.00471184,0
34,19,餐饮类,25,4,0,39.93376271,0.00472032,116.4261114,0.00471184,0
93,24,餐饮类,25,3,4,39.91164652,0.003023034,116.4491329,0.00335416,227.9900029
94,24,餐饮类,25,2,2,39.90862349,0.003023034,116.4424246,0.00335416,20.67000008
95,24,餐饮类,25,2,3,39.90862349,0.003023034,116.4457788,0.00335416,37.54000092
96,24,餐饮类,25,3,2,39.91164652,0.003023034,116.4424246,0.00335416,48.88000011
97,24,餐饮类,25,2,4,39.90862349,0.003023034,116.4491329,0.00335416,258.8799992
98,24,餐饮类,25,3,3,39.91164652,0.003023034,116.4457788,0.00335416,4.739999771
99,24,餐饮类,25,4,3,39.91466956,0.003023034,116.4457788,0.00335416,14.18000007
100,24,餐饮类,25,4,4,39.91466956,0.003023034,116.4491329,0.00335416,48.96000004
101,24,餐饮类,25,4,2,39.91466956,0.003023034,116.4424246,0.00335416,118.1300035
102,24,餐饮类,25,1,1,39.90560045,0.003023034,116.4390705,0.00335416,5.380000114
103,24,餐饮类,25,0,2,39.90257742,0.003023034,116.4424246,0.00335416,40.55000019
104,24,餐饮类,25,0,1,39.90257742,0.003023034,116.4390705,0.00335416,131.3999977
105,24,餐饮类,25,0,0,39.90257742,0.003023034,116.4357163,0.00335416,81.01000071
106,24,餐饮类,25,1,3,39.90560045,0.003023034,116.4457788,0.00335416,6.360000134
107,24,餐饮类,25,1,2,39.90560045,0.003023034,116.4424246,0.00335416,20.42000008
108,24,餐饮类,25,1,4,39.90560045,0.003023034,116.4491329,0.00335416,153.1900005
109,24,餐饮类,25,0,4,39.90257742,0.003023034,116.4491329,0.00335416,135.1299963
110,24,餐饮类,25,0,3,39.90257742,0.003023034,116.4457788,0.00335416,66.60999966
111,24,餐饮类,25,1,0,39.90560045,0.003023034,116.4357163,0.00335416,0
112,24,餐饮类,25,2,0,39.90862349,0.003023034,116.4357163,0.00335416,0
113,24,餐饮类,25,2,1,39.90862349,0.003023034,116.4390705,0.00335416,0
114,24,餐饮类,25,3,0,39.91164652,0.003023034,116.4357163,0.00335416,0
115,24,餐饮类,25,3,1,39.91164652,0.003023034,116.4390705,0.00335416,0
116,24,餐饮类,25,4,0,39.91466956,0.003023034,116.4357163,0.00335416,0
117,24,餐饮类,25,4,1,39.91466956,0.003023034,116.4390705,0.00335416,0
